category,subcategory,concept,prompt,seed,filename,resolution,color_count,lint_overall,verdict,notes
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",0,heraldic_lion_s0.png,24x24,25,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",1,heraldic_lion_s1.png,24x24,30,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",2,heraldic_lion_s2.png,24x24,21,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",3,heraldic_lion_s3.png,24x24,30,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",42,heraldic_lion_s42.png,24x24,35,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",137,heraldic_lion_s137.png,24x24,21,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",999,heraldic_lion_s999.png,24x24,37,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",1337,heraldic_lion_s1337.png,24x24,19,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",7,heraldic_lion_s7.png,24x24,26,FAIL,fail,
mural_design,heraldic,heraldic_lion,"heraldic lion emblem on flat shield-shaped mural, small sprite, pixel art",21,heraldic_lion_s21.png,24x24,37,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",0,heraldic_eagle_s0.png,24x24,14,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",1,heraldic_eagle_s1.png,24x24,21,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",2,heraldic_eagle_s2.png,24x24,16,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",3,heraldic_eagle_s3.png,24x24,25,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",42,heraldic_eagle_s42.png,24x24,22,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",137,heraldic_eagle_s137.png,24x24,17,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",999,heraldic_eagle_s999.png,24x24,24,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",1337,heraldic_eagle_s1337.png,24x24,20,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",7,heraldic_eagle_s7.png,24x24,26,FAIL,fail,
mural_design,heraldic,heraldic_eagle,"heraldic eagle crest emblem mural, small sprite, pixel art",21,heraldic_eagle_s21.png,24x24,11,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",0,heraldic_shield_s0.png,24x24,8,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",1,heraldic_shield_s1.png,24x24,26,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",2,heraldic_shield_s2.png,24x24,26,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",3,heraldic_shield_s3.png,24x24,26,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",42,heraldic_shield_s42.png,24x24,17,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",137,heraldic_shield_s137.png,24x24,18,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",999,heraldic_shield_s999.png,24x24,22,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",1337,heraldic_shield_s1337.png,24x24,32,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",7,heraldic_shield_s7.png,24x24,32,FAIL,fail,
mural_design,heraldic,heraldic_shield,"heraldic shield emblem mural, small sprite, pixel art",21,heraldic_shield_s21.png,24x24,26,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",0,heraldic_sword_star_s0.png,24x24,18,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",1,heraldic_sword_star_s1.png,24x24,13,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",2,heraldic_sword_star_s2.png,24x24,15,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",3,heraldic_sword_star_s3.png,24x24,15,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",42,heraldic_sword_star_s42.png,24x24,14,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",137,heraldic_sword_star_s137.png,24x24,18,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",999,heraldic_sword_star_s999.png,24x24,23,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",1337,heraldic_sword_star_s1337.png,24x24,24,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",7,heraldic_sword_star_s7.png,24x24,21,FAIL,fail,
mural_design,heraldic,heraldic_sword_star,"heraldic sword and star emblem mural, small sprite, pixel art",21,heraldic_sword_star_s21.png,24x24,26,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",0,heraldic_dragon_s0.png,24x24,18,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",1,heraldic_dragon_s1.png,24x24,8,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",2,heraldic_dragon_s2.png,24x24,15,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",3,heraldic_dragon_s3.png,24x24,8,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",42,heraldic_dragon_s42.png,24x24,19,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",137,heraldic_dragon_s137.png,24x24,26,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",999,heraldic_dragon_s999.png,24x24,11,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",1337,heraldic_dragon_s1337.png,24x24,18,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",7,heraldic_dragon_s7.png,24x24,12,FAIL,fail,
mural_design,heraldic,heraldic_dragon,"heraldic dragon crest emblem mural, small sprite, pixel art",21,heraldic_dragon_s21.png,24x24,21,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",0,banner_sun_s0.png,24x24,10,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",1,banner_sun_s1.png,24x24,16,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",2,banner_sun_s2.png,24x24,21,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",3,banner_sun_s3.png,24x24,14,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",42,banner_sun_s42.png,24x24,12,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",137,banner_sun_s137.png,24x24,25,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",999,banner_sun_s999.png,24x24,18,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",1337,banner_sun_s1337.png,24x24,18,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",7,banner_sun_s7.png,24x24,11,FAIL,fail,
mural_design,banner_tapestry,banner_sun,"hanging cloth banner with sun motif, small sprite, pixel art",21,banner_sun_s21.png,24x24,15,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",0,tapestry_tree_s0.png,24x24,14,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",1,tapestry_tree_s1.png,24x24,22,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",2,tapestry_tree_s2.png,24x24,24,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",3,tapestry_tree_s3.png,24x24,18,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",42,tapestry_tree_s42.png,24x24,34,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",137,tapestry_tree_s137.png,24x24,23,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",999,tapestry_tree_s999.png,24x24,16,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",1337,tapestry_tree_s1337.png,24x24,21,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",7,tapestry_tree_s7.png,24x24,16,FAIL,fail,
mural_design,banner_tapestry,tapestry_tree,"hanging tapestry with tree motif, small sprite, pixel art",21,tapestry_tree_s21.png,24x24,17,FAIL,fail,
mural_design,banner_tapestry,banner_wave,"hanging cloth banner with wave motif, small sprite, pixel art",0,banner_wave_s0.png,24x24,12,FAIL,fail,
mural_design,banner_tapestry,banner_wave,"hanging cloth banner with wave motif, small sprite, pixel art",1,banner_wave_s1.png,24x24,9,FAIL,fail,
