concept,tag,seed,prompt,status,overall,colors,A5,A6,collapse_merges,final_path
chair_remediation,chair_remediation_locked_s0,0,"a simple wooden chair with a tall plank backrest and four sturdy legs, side view",ok,WARN,7,PASS,WARN,0,tools/art_lint/candidates/burndown3/chair_remediation/chair_remediation_locked_s0_snapped.png
chair_remediation,chair_remediation_locked_s1,1,"a simple wooden chair with a tall plank backrest and four sturdy legs, side view",ok,WARN,7,PASS,WARN,0,tools/art_lint/candidates/burndown3/chair_remediation/chair_remediation_locked_s1_snapped.png
chair_remediation,chair_remediation_locked_s2,2,"a simple wooden chair with a tall plank backrest and four sturdy legs, side view",ok,WARN,7,PASS,WARN,0,tools/art_lint/candidates/burndown3/chair_remediation/chair_remediation_locked_s2_snapped.png
chair_remediation,chair_remediation_locked_s3,3,"a simple wooden chair with a tall plank backrest and four sturdy legs, side view",ok,WARN,6,PASS,WARN,0,tools/art_lint/candidates/burndown3/chair_remediation/chair_remediation_locked_s3_snapped.png
chair_remediation,chair_remediation_locked_s4,4,"a simple wooden chair with a tall plank backrest and four sturdy legs, side view",ok,WARN,7,PASS,WARN,0,tools/art_lint/candidates/burndown3/chair_remediation/chair_remediation_locked_s4_snapped.png
chair_remediation,chair_remediation_locked_s5,5,"a simple wooden chair with a tall plank backrest and four sturdy legs, side view",ok,WARN,7,PASS,WARN,0,tools/art_lint/candidates/burndown3/chair_remediation/chair_remediation_locked_s5_snapped.png
candelabra_remediation,candelabra_remediation_locked_s0,0,"a candelabra: a single upright stand with two arms and three lit candle flames, simple clear silhouette, nothing else",ok,WARN,7,PASS,WARN,0,tools/art_lint/candidates/burndown3/candelabra_remediation/candelabra_remediation_locked_s0_snapped.png
candelabra_remediation,candelabra_remediation_locked_s1,1,"a candelabra: a single upright stand with two arms and three lit candle flames, simple clear silhouette, nothing else",ok,WARN,8,PASS,WARN,0,tools/art_lint/candidates/burndown3/candelabra_remediation/candelabra_remediation_locked_s1_snapped.png
candelabra_remediation,candelabra_remediation_locked_s2,2,"a candelabra: a single upright stand with two arms and three lit candle flames, simple clear silhouette, nothing else",ok,WARN,5,PASS,WARN,0,tools/art_lint/candidates/burndown3/candelabra_remediation/candelabra_remediation_locked_s2_snapped.png
candelabra_remediation,candelabra_remediation_locked_s3,3,"a candelabra: a single upright stand with two arms and three lit candle flames, simple clear silhouette, nothing else",ok,WARN,4,PASS,WARN,0,tools/art_lint/candidates/burndown3/candelabra_remediation/candelabra_remediation_locked_s3_snapped.png
candelabra_remediation,candelabra_remediation_locked_s4,4,"a candelabra: a single upright stand with two arms and three lit candle flames, simple clear silhouette, nothing else",ok,WARN,6,PASS,WARN,0,tools/art_lint/candidates/burndown3/candelabra_remediation/candelabra_remediation_locked_s4_snapped.png
candelabra_remediation,candelabra_remediation_locked_s5,5,"a candelabra: a single upright stand with two arms and three lit candle flames, simple clear silhouette, nothing else",ok,WARN,6,PASS,WARN,0,tools/art_lint/candidates/burndown3/candelabra_remediation/candelabra_remediation_locked_s5_snapped.png
